대표식품명,설명,주요_재료,맛_특징,조리_방식,상황_태그
게장,"게장을 신선한 꽃게를 간장이나 고추장 양념에 절여 숙성시킨 한국의 전통 반찬으로, 밥과 함께 먹으면 감칠맛과 짭짤함이 어우러져 깊은 맛을 느낄 수 있습니다. 특히 간장게장과 양념게장 두 가지 종류가 있으며, 각각 특유의 달콤하고 짭짤하거나 매콤한 맛이 특징입니다.","['꽃게', '간장', '고추장', '마늘', '생강', '파', '설탕', '고춧가루', '참기름']","['짭짤한', '감칠맛 나는', '매콤한', '달콤한', '고소한']",절임,"['가족 모임', '밥도둑', '특별한 손님상', '술안주', '스트레스 해소', '기념일', '풍성한 식사']"
감자볶음,"감자를 채 썰어 기름에 볶아 만든 한국의 대표적인 반찬으로, 담백하면서도 고소한 맛이 특징입니다. 간단한 양념으로 누구나 쉽게 조리할 수 있어 밥상에 자주 오르는 친숙한 반찬입니다.","['감자', '식용유', '소금', '파', '참기름']","['담백한', '고소한', '약간 짭짤한', '부드러운 식감']",볶음,"['평범한 저녁 식사', '간단한 반찬', '바쁜 아침', '도시락 반찬', '어린이 간식']"
UNKNOWN,인식할 수 없는 음식 항목입니다. 이미지 분류가 명확하지 않을 때 사용되는 값입니다.,[],[],,"['재촬영 필요', '명확하지 않은 이미지']"
달걀말이,"달걀을 잘 풀어 팬에 얇게 부친 후 여러 겹으로 말아 만든 한국식 계란말이로, 부드럽고 촉촉한 식감과 고소한 맛이 특징입니다. 반찬이나 도시락 반찬으로 자주 활용되며, 간단하면서도 정성스러운 집밥의 대표 메뉴입니다.","['달걀', '소금', '설탕', '당근', '파', '소시지 또는 햄 (선택적)']","['고소한', '부드러운', '약간 단맛', '담백한']",구이,"['도시락 반찬', '간단한 아침 식사', '아이들 간식', '가벼운 술안주', '홈파티', '스트레스 해소']"
달걀부침(달걀후라이),"달걀을 풀어 팬에 부쳐 만든 간단하고 대중적인 한국식 계란 요리로, 노른자가 반숙 또는 완숙 상태로 조리되어 아침 식사나 반찬으로 자주 즐겨집니다.","['달걀', '식용유 또는 버터', '소금']","['고소한', '담백한', '부드러운', '약간 짭짤한']",구이,"['간단한 아침 식사', '빠른 한끼', '혼밥', '추억의 맛', '야식', '스트레스 해소', '아이들 간식']"
곰탕,"곰탕은 소의 뼈와 고기를 오래 끓여 우려낸 맑은 국물 요리로, 깊고 진한 육수 맛이 특징입니다. 고소하고 담백한 맛으로 한국 전통 음식 중 하나이며, 주로 속을 든든하게 채우고 싶을 때 즐겨 먹습니다.","['소 뼈', '소 고기', '파', '마늘', '소금']","['담백한', '고소한', '깊은 맛', '부드러운']",국물 요리,"['속을 든든하게 하고 싶을 때', '추운 겨울', '아침 식사', '회복 음식', '전통 음식', '가족 모임']"
닭볶음(닭갈비),"닭볶음 또는 닭갈비는 닭고기와 각종 채소, 고추장 양념을 함께 볶아 매콤하고 달콤한 맛이 조화를 이루는 한국의 대표적인 볶음 요리입니다. 주로 철판에 볶아내어 쫄깃한 닭고기와 아삭한 채소의 식감이 어우러지며, 밥이나 떡사리와 함께 즐기기 좋습니다.","['닭고기', '고추장', '양배추', '고구마', '떡', '양파', '대파', '당근', '마늘']","['매콤한', '달콤한', '짭짤한', '감칠맛 나는']",볶음,"['친구들과의 모임', '야식', '술안주', '추운 날씨', '스트레스 해소', '활기찬 저녁', '비 오는 날', '빠른 한끼']"
도토리묵무침,"도토리묵을 얇게 썰어 각종 채소와 고추장 양념에 버무려 만든 한국의 전통 무침 요리로, 고소하면서도 상큼하고 매콤한 맛이 특징입니다. 가볍고 담백해 여름철 입맛 돋우는 건강식으로 인기가 많습니다.","['도토리묵', '오이', '당근', '쪽파', '고추장', '참기름', '마늘', '식초', '설탕', '통깨']","['고소한', '매콤한', '상큼한', '담백한']",무침,"['여름철 가벼운 식사', '다이어트 식단', '술안주', '더운 날 입맛 돋우기', '건강 간식', '피크닉', '채식주의자 추천']"
완자전,"완자전은 다진 고기와 각종 채소를 섞어 동그랗게 빚은 후, 밀가루와 계란물을 입혀 노릇하게 부친 한국의 전통 부침 요리입니다. 고기의 풍미와 채소의 식감이 어우러져 고소하고 담백한 맛을 자랑하며, 간단한 안주나 반찬으로 사랑받는 음식입니다.","['다진 돼지고기 또는 소고기', '양파', '두부', '부추', '밀가루', '계란', '마늘', '소금', '후추']","['고소한', '담백한', '촉촉한', '약간 짭짤한']",구이,"['가족 모임', '간단한 술안주', '추억의 맛', '소풍 도시락', '비 오는 날', '친구들과의 홈파티']"
떡만두국,"떡만두국은 얇게 썬 떡과 만두를 맑은 국물에 끓여 만든 한국의 대표적인 국물 요리입니다. 고소하고 담백한 국물과 쫄깃한 떡, 그리고 다양한 재료가 들어간 만두가 어우러져 든든하고 따뜻한 한 끼 식사로 사랑받습니다. 주로 설날과 같은 명절에 즐겨 먹으며, 가족과 함께하는 특별한 날에 자주 등장하는 음식입니다.","['가래떡', '만두', '쇠고기 육수', '계란', '파', '마늘', '국간장']","['담백한', '고소한', '부드러운', '깔끔한']",찌개,"['명절 음식', '따뜻한 아침', '가족 모임', '겨울철', '포근한 기분', '속을 편안하게 하는 식사']"
삼겹살구이,"두툼한 돼지고기 삼겹살을 숯불이나 팬에 구워 겉은 바삭하고 속은 촉촉하게 즐기는 한국의 대표적인 구이 요리. 쌈채소, 마늘, 쌈장과 함께 먹으며 남녀노소 모두에게 사랑받는 인기 있는 식사입니다.","['삼겹살', '소금', '후추', '마늘', '상추', '깻잎', '쌈장']","['고소한', '짭짤한', '담백한', '바삭한']",구이,"['친구들과의 모임', '가족 외식', '주말 저녁', '맥주와 함께', '스트레스 해소', '야외 바비큐', '비오는 날']"
소시지볶음,소시지를 잘게 썰어 각종 채소와 함께 고추장이나 간장 양념으로 빠르게 볶아 만든 한국식 반찬. 간단하면서도 달콤하고 짭짤한 맛이 어우러져 밥반찬이나 도시락 반찬으로 인기가 높습니다.,"['소시지', '양파', '당근', '파프리카', '고추장 또는 간장', '설탕', '참기름']","['달콤한', '짭짤한', '약간 매콤한', '고소한']",볶음,"['빠른 식사', '도시락 반찬', '아이들 간식', '주말 브런치', '스트레스 해소', '맥주안주']"
호박볶음,"얇게 썬 애호박을 기름에 살짝 볶아 소금과 간장 등으로 간을 한 한국의 전통 반찬으로, 아삭하고 부드러운 식감과 은은한 단맛이 조화를 이루는 담백한 반찬입니다.","['애호박', '식용유', '소금', '간장', '다진 마늘', '참기름', '깨소금']","['담백한', '아삭한', '고소한', '은은한 단맛']",볶음,"['가벼운 식사', '건강식', '바쁜 일상 속 빠른 반찬', '가족 식사', '초여름 신선한 반찬']"
닭튀김,"닭튀김은 닭고기에 튀김옷을 입혀 바삭하게 튀긴 한국의 인기 간식이자 안주입니다. 겉은 바삭하고 속은 촉촉한 식감이 특징이며, 맥주와 함께 즐기기에 최적화된 음식입니다.","['닭고기', '밀가루 또는 전분', '계란', '소금', '후추', '식용유']","['바삭한', '짭짤한', '고소한', '담백한']",튀김,"['맥주와 함께', '야식', '친구들과의 모임', '스트레스 해소', '빠른 식사', '운동 경기 관람']"
유부 초밥,"얇게 조리된 유부 주머니에 밥과 다양한 재료를 채워 만든 일본식 초밥으로, 달콤하고 짭짤한 맛이 조화를 이루는 간편하고 맛있는 한입 거리 음식입니다. 가볍게 즐길 수 있어 도시락 반찬이나 간식으로 인기가 많습니다.","['유부 (간장에 조린 두부 껍질)', '초밥용 밥', '참기름', '식초', '설탕', '소금']","['달콤한', '짭짤한', '고소한', '담백한']",조림 및 조립,"['간편한 간식', '도시락 반찬', '소풍', '가벼운 식사', '파티 핑거푸드', '아이들 간식']"
닭찜,"닭고기를 양념과 함께 부드럽게 쪄내어 만든 한국의 전통 음식으로, 촉촉하고 깊은 맛이 특징입니다. 매콤하거나 달콤한 양념이 어우러져 밥과 함께 즐기기에 좋으며, 가족 모임이나 특별한 날에 자주 준비됩니다.","['닭고기', '간장', '고추장', '마늘', '생강', '파', '고춧가루', '설탕 또는 물엿']","['매콤한', '달콤한', '짭짤한', '감칠맛 나는', '부드러운']",찜,"['가족 모임', '명절 음식', '따뜻한 저녁', '스트레스 해소', '술안주', '비오는 날', '특별한 날']"
