식품명,대표식품명,식품중분류명,에너지(kcal),수분(g),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),나트륨(mg),비타민 A(μg RAE),비타민 D(μg),비타민 C(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g)
김밥,김밥,해당없음,140,69.5,4.84,4.55,19.98,0.0,1.4,36.0,0.3,307.0,113.0,0.0,3.76,19.3,1.1,0.02
김밥_김치,김밥,김치,130,71.2,4.3,4.03,19.17,0.29,1.8,44.0,0.31,349.0,41.0,0.0,3.43,47.38,1.06,0.02
김밥_날치알,김밥,날치알,177,59.8,6.1,4.26,28.66,1.43,2.1,20.0,0.62,299.0,61.0,0.0,0.78,55.15,1.2,0.03
김밥_돈가스,김밥,돈가스,202,55.8,5.77,5.81,31.64,1.33,2.1,15.0,0.49,241.0,22.0,0.0,0.18,6.52,1.07,0.04
김밥_소고기,김밥,소고기,179,61.2,6.46,5.56,25.78,0.03,1.5,30.0,0.87,267.0,35.0,0.0,2.74,39.04,1.6,0.17
김밥_참치,김밥,참치,174,64.2,7.0,7.22,20.26,0.71,1.8,51.0,0.72,335.0,66.0,0.0,3.06,33.45,1.4,0.04
김밥_채소,김밥,채소,158,63.8,4.6,3.65,26.65,0.14,3.4,38.0,0.44,309.0,160.0,0.0,1.81,29.93,0.99,0.02
김밥_치즈,김밥,치즈,177,63.3,6.24,7.03,22.1,0.21,2.6,6.0,0.21,169.0,58.0,0.0,2.15,35.07,2.43,0.13
김밥_풋고추,김밥,풋고추,169,61.9,4.88,4.41,27.52,0.09,3.3,19.0,0.49,327.0,104.0,0.0,2.92,37.81,1.24,0.03
비빔밥,비빔밥,해당없음,142,68.9,6.86,4.32,18.84,0.05,2.0,31.0,1.04,232.0,73.0,0.0,2.02,42.26,0.95,0.06
비빔밥_돌솥,비빔밥,돌솥,147,65.7,5.39,2.95,24.68,1.24,2.4,25.0,0.59,337.0,56.0,0.0,0.28,9.98,0.33,0.01
