식품명,대표식품명,식품중분류명,에너지(kcal),수분(g),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),나트륨(mg),비타민 A(μg RAE),비타민 D(μg),비타민 C(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g)
국밥_돼지머리,국밥,돼지머리,137,71.6,6.7,5.16,15.94,0.16,0.7,9.0,0.24,181.0,5.0,0.0,0.04,23.82,1.47,0.03
국밥_순대국밥,국밥,순대국밥,75,83.7,3.17,2.28,10.38,0.17,1.3,9.0,0.67,126.0,5.0,0.0,0.21,48.69,1.26,0.01
국밥_콩나물,국밥,콩나물,52,86.8,1.45,0.24,10.93,0.0,1.2,6.0,0.18,172.0,2.0,0.0,1.26,0.0,0.12,0.0
기장밥,기장밥,해당없음,166,59.1,3.44,0.57,36.77,0.0,1.5,4.0,0.33,1.0,0.0,0.0,0.29,0.0,0.08,0.0
김밥,김밥,해당없음,140,69.5,4.84,4.55,19.98,0.0,1.4,36.0,0.3,307.0,113.0,0.0,3.76,19.3,1.1,0.02
김밥_김치,김밥,김치,130,71.2,4.3,4.03,19.17,0.29,1.8,44.0,0.31,349.0,41.0,0.0,3.43,47.38,1.06,0.02
김밥_날치알,김밥,날치알,177,59.8,6.1,4.26,28.66,1.43,2.1,20.0,0.62,299.0,61.0,0.0,0.78,55.15,1.2,0.03
김밥_돈가스,김밥,돈가스,202,55.8,5.77,5.81,31.64,1.33,2.1,15.0,0.49,241.0,22.0,0.0,0.18,6.52,1.07,0.04
김밥_소고기,김밥,소고기,179,61.2,6.46,5.56,25.78,0.03,1.5,30.0,0.87,267.0,35.0,0.0,2.74,39.04,1.6,0.17
김밥_참치,김밥,참치,174,64.2,7.0,7.22,20.26,0.71,1.8,51.0,0.72,335.0,66.0,0.0,3.06,33.45,1.4,0.04
김밥_채소,김밥,채소,158,63.8,4.6,3.65,26.65,0.14,3.4,38.0,0.44,309.0,160.0,0.0,1.81,29.93,0.99,0.02
김밥_치즈,김밥,치즈,177,63.3,6.24,7.03,22.1,0.21,2.6,6.0,0.21,169.0,58.0,0.0,2.15,35.07,2.43,0.13
김밥_풋고추,김밥,풋고추,169,61.9,4.88,4.41,27.52,0.09,3.3,19.0,0.49,327.0,104.0,0.0,2.92,37.81,1.24,0.03
덮밥_낙지,덮밥,낙지,150,65.9,5.88,3.34,24.12,2.16,2.3,15.0,0.36,212.0,9.0,0.0,0.81,32.45,0.37,0.01
덮밥_닭고기,덮밥,닭고기,125,70.8,11.4,2.18,14.82,1.07,1.1,21.0,0.53,153.0,63.0,0.0,0.0,92.29,0.79,0.01
덮밥_돼지고기(제육),덮밥,돼지고기(제육),202,62.0,9.43,10.77,16.86,1.98,1.4,11.0,0.49,174.0,31.0,0.0,0.0,27.94,3.42,0.05
덮밥_불고기,덮밥,불고기,182,60.2,6.6,5.31,26.96,0.07,2.8,6.0,0.82,253.0,1.0,0.0,0.0,15.83,1.4,0.24
덮밥_오징어,덮밥,오징어,135,68.1,7.18,2.01,21.94,0.66,2.6,8.0,0.22,162.0,46.0,0.0,0.0,46.44,0.24,0.0
보리밥,보리밥,해당없음,161,59.9,2.9,0.24,36.77,2.57,2.4,7.0,0.2,4.0,0.0,0.0,0.02,0.0,0.1,0.0
볶음밥,볶음밥,해당없음,183,56.9,5.56,2.76,33.97,0.0,1.7,13.0,0.52,212.0,40.0,0.0,4.13,29.28,1.1,0.03
볶음밥_계란,볶음밥,계란,225,56.6,6.62,11.28,24.23,0.17,1.8,18.0,0.44,318.0,47.0,0.0,31.12,62.63,2.2,0.05
볶음밥_김치,볶음밥,김치,167,68.1,5.32,9.18,15.74,13.89,2.8,30.0,0.7,470.0,25.0,0.0,4.17,70.41,1.43,0.04
볶음밥_새우,볶음밥,새우,172,64.1,6.31,6.14,22.85,0.71,1.6,12.0,0.35,146.0,38.0,0.0,4.12,70.72,1.19,0.03
볶음밥_소고기,볶음밥,소고기,176,63.2,7.59,6.48,21.76,0.08,2.1,18.0,0.62,215.0,31.0,0.0,4.8,50.02,1.47,0.07
볶음밥_참치,볶음밥,참치,180,57.4,4.62,3.27,32.9,0.12,1.6,15.0,0.11,631.0,7.0,0.0,0.18,2.76,0.49,0.02
볶음밥_채소,볶음밥,채소,182,59.7,4.72,5.39,28.74,0.29,2.3,17.0,0.42,408.0,32.0,0.0,0.76,46.24,0.84,0.02
