food_class,cand1_대표식품명,cand1_score,cand2_대표식품명,cand2_score,cand3_대표식품명,cand3_score,final_대표식품명
간장게장,장떡,60,쌈장,60,간자장,57.1428571428571,게장
감자채볶음,감자볶음,88.8888888888889,볶음밥,72,감자국,72,감자볶음
계란국,계란 덮밥,72,토란국,66.6666666666667,계란빵,66.6666666666667,UNKNOWN
계란말이,계란빵,57.1428571428571,묵말이,57.1428571428571,달걀말이,50,달걀말이
계란찜,계란 덮밥,72,계란빵,66.6666666666667,명란찜,66.6666666666667,UNKNOWN
계란후라이,라볶이,72,계란빵,72,달걀부침(달걀후라이),60,달걀부침(달걀후라이)
고추장진미채볶음,고추장볶음,76.9230769230769,볶음밥,72,햄볶음,72,UNKNOWN
곰탕_설렁탕,닭곰탕,72,알탕,60,소탕,60,곰탕
과메기,메기 매운탕,72,메기찜,66.6666666666667,과일,60,UNKNOWN
김치볶음밥,김치볶음,88.8888888888889,김치국,72,김치전,72,UNKNOWN
꽈리고추무침,부추무침,77.1428571428572,꽈리고추찜,72.7272727272727,굴무침,72,UNKNOWN
닭갈비,소갈비 구이,68.4,갈비탕,66.6666666666667,갈비찜,66.6666666666667,닭볶음(닭갈비)
닭계장,닭죽,60,닭찜,60,게장,60,UNKNOWN
도라지무침,도라지나물무침,83.3333333333333,굴무침,72,김무침,72,UNKNOWN
도토리묵,도넛,60,묵국,60,묵밥,60,도토리묵무침
동그랑땡,우동,60,스크램블드에그,36,동태양념구이,36,완자전
떡국_만두국,떡만두국,80,두부국,72,,,떡만두국
떡꼬치,돼지고기 꼬치구이,68.4,채소 꼬치구이,68.4,꿀떡,60,UNKNOWN
멍게,게살죽,60,게국지,60,게조림,60,UNKNOWN
보쌈,보리밥,60,월남쌈,60,보신탕,60,UNKNOWN
북엇국,북어국,66.6666666666667,국밥,60,국수,60,UNKNOWN
산낙지,낙지 덮밥,72,낙지 비빔밥,72,낙지탕(맑은탕),72,UNKNOWN
삼겹살,오겹살구이,60,,,,,삼겹살구이
새우볶음밥,새우볶음,88.8888888888889,건새우볶음,80,새우탕,72,UNKNOWN
소세지볶음,소시지볶음,80,세발낙지볶음,72.7272727272727,볶음밥,72,소시지볶음
수정과,국수,60,수육,60,빙수,60,UNKNOWN
시래기국,시래기나물무침,77.1428571428572,시래기 된장국,77.1428571428572,시래기나물,66.6666666666667,UNKNOWN
애호박볶음,호박볶음,88.8888888888889,호박고지볶음,72.7272727272727,볶음밥,72,호박볶음
양념게장,고춧가루 양념장,77.1428571428572,양념초장,75,장떡,60,게장
양념치킨,양념채김치,66.6666666666667,치킨데리야끼,60,양념 돼지고기튀김,60,닭튀김
열무국수,수육,60,빙수,60,수란,60,UNKNOWN
유부초밥,유부 초밥,88.8888888888889,국밥,60,김밥,60,유부 초밥
젓갈,갈비탕,60,갈치찌개,60,갈비찜,60,UNKNOWN
찜닭,닭곰탕,60,가오리찜,60,갈비찜,60,닭찜
콩자반,콩밥,60,피자,45,콩비지찌개,45,콩조림(콩자반)
편육,육개장,60,탕수육,60,기피편,60,UNKNOWN
한과,과ㆍ채주스,60,매작과,60,과일샐러드,60,UNKNOWN
후라이드치킨,라볶이,60,에이드,60,치킨가스,60,닭튀김
,,,,,,,
,,,,,,,UNKNOWN
