food_class,cand1_대표식품명,cand1_score,cand2_대표식품명,cand2_score,cand3_대표식품명,cand3_score,final_대표식품명
간장게장,장떡,60.00000000000001,쌈장,60.00000000000001,간자장,57.14285714285714,
감자채볶음,감자볶음,88.88888888888889,볶음밥,72.0,감자국,72.0,
계란국,계란 덮밥,72.0,토란국,66.66666666666667,계란빵,66.66666666666667,
계란말이,계란빵,57.14285714285714,묵말이,57.14285714285714,달걀말이,50.0,
계란찜,계란 덮밥,72.0,계란빵,66.66666666666667,명란찜,66.66666666666667,
계란후라이,라볶이,72.0,계란빵,72.0,달걀부침(달걀후라이),60.00000000000001,
고추장진미채볶음,고추장볶음,76.92307692307692,볶음밥,72.0,햄볶음,72.0,
곰탕_설렁탕,닭곰탕,72.0,알탕,60.00000000000001,소탕,60.00000000000001,
과메기,메기 매운탕,72.0,메기찜,66.66666666666667,과일,60.00000000000001,
김치볶음밥,김치볶음,88.88888888888889,김치국,72.0,김치전,72.0,
꽈리고추무침,부추무침,77.14285714285715,꽈리고추찜,72.72727272727273,굴무침,72.0,
닭갈비,소갈비 구이,68.4,갈비탕,66.66666666666667,갈비찜,66.66666666666667,
닭계장,닭죽,60.00000000000001,닭찜,60.00000000000001,게장,60.00000000000001,
도라지무침,도라지나물무침,83.33333333333334,굴무침,72.0,김무침,72.0,
도토리묵,도넛,60.00000000000001,묵국,60.00000000000001,묵밥,60.00000000000001,
동그랑땡,우동,60.00000000000001,스크램블드에그,36.0,동태양념구이,36.0,
떡국_만두국,떡만두국,80.0,두부국,72.0,,,
떡꼬치,돼지고기 꼬치구이,68.4,채소 꼬치구이,68.4,꿀떡,60.00000000000001,
멍게,게살죽,60.00000000000001,게국지,60.00000000000001,게조림,60.00000000000001,
보쌈,보리밥,60.00000000000001,월남쌈,60.00000000000001,보신탕,60.00000000000001,
북엇국,북어국,66.66666666666667,국밥,60.00000000000001,국수,60.00000000000001,
산낙지,낙지 덮밥,72.0,낙지 비빔밥,72.0,낙지탕(맑은탕),72.0,
삼겹살,오겹살구이,60.00000000000001,,,,,
새우볶음밥,새우볶음,88.88888888888889,건새우볶음,80.0,새우탕,72.0,
소세지볶음,소시지볶음,80.0,세발낙지볶음,72.72727272727273,볶음밥,72.0,
수정과,국수,60.00000000000001,수육,60.00000000000001,빙수,60.00000000000001,
시래기국,시래기나물무침,77.14285714285715,시래기 된장국,77.14285714285715,시래기나물,66.66666666666667,
애호박볶음,호박볶음,88.88888888888889,호박고지볶음,72.72727272727273,볶음밥,72.0,
양념게장,고춧가루 양념장,77.14285714285715,양념초장,75.0,장떡,60.00000000000001,
양념치킨,양념채김치,66.66666666666667,치킨데리야끼,60.00000000000001,양념 돼지고기튀김,60.00000000000001,
열무국수,수육,60.00000000000001,빙수,60.00000000000001,수란,60.00000000000001,
유부초밥,유부 초밥,88.88888888888889,국밥,60.00000000000001,김밥,60.00000000000001,
젓갈,갈비탕,60.00000000000001,갈치찌개,60.00000000000001,갈비찜,60.00000000000001,
찜닭,닭곰탕,60.00000000000001,가오리찜,60.00000000000001,갈비찜,60.00000000000001,
콩자반,콩밥,60.00000000000001,피자,45.0,콩비지찌개,45.0,
편육,육개장,60.00000000000001,탕수육,60.00000000000001,기피편,60.00000000000001,
한과,과ㆍ채주스,60.00000000000001,매작과,60.00000000000001,과일샐러드,60.00000000000001,
후라이드치킨,라볶이,60.00000000000001,에이드,60.00000000000001,치킨가스,60.00000000000001,
